Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.703125,7.734375,7.4375,7.5,5.759180545806885,394800
2000-01-04,7.453125,7.515625,7.40625,7.484375,5.747181415557861,924400
2000-01-05,7.5,7.5,7.375,7.421875,5.699188709259033,624000
2000-01-06,7.390625,7.453125,7.28125,7.453125,5.723187446594238,450400
2000-01-07,7.453125,7.765625,7.421875,7.75,5.951155185699463,1608400
2000-01-10,7.765625,8.109375,7.765625,7.890625,6.059139728546143,620800
2000-01-11,7.84375,7.96875,7.796875,7.875,6.047138214111328,575600
2000-01-12,7.859375,7.859375,7.75,7.84375,6.023142337799072,676800
2000-01-13,7.890625,8.203125,7.890625,8.140625,6.2511115074157715,700000
2000-01-14,8.15625,8.15625,7.78125,7.78125,5.975149631500244,244800
2000-01-18,7.75,7.9375,7.734375,7.921875,6.083135604858398,485200
2000-01-19,7.890625,8.0,7.875,7.875,6.047138214111328,741600
2000-01-20,7.921875,7.9375,7.859375,7.921875,6.083135604858398,332000
2000-01-21,7.84375,7.953125,7.84375,7.921875,6.083135604858398,960000
2000-01-24,7.90625,7.96875,7.90625,7.9375,6.0951337814331055,371200
2000-01-25,7.9375,8.078125,7.90625,8.015625,6.155126094818115,1643200
2000-01-26,8.015625,9.21875,8.015625,9.0,6.911017417907715,1582000
2000-01-27,9.015625,9.09375,8.25,8.25,6.335099697113037,1392000
2000-01-28,8.3125,8.609375,8.3125,8.40625,6.455080509185791,1078000
2000-01-31,8.453125,8.53125,8.453125,8.5,6.527072429656982,600000
2000-02-01,8.5,8.5,8.296875,8.375,6.431085586547852,214000
2000-02-02,8.40625,8.53125,8.34375,8.390625,6.443083763122559,456000
2000-02-03,8.5,8.71875,8.484375,8.609375,6.61106014251709,496800
2000-02-04,8.625,8.90625,8.625,8.796875,6.755038738250732,462000
2000-02-07,8.765625,8.890625,8.765625,8.859375,6.803033828735352,767600
2000-02-08,8.859375,8.9375,8.859375,8.9375,6.8630266189575195,434400
2000-02-09,9.0,9.140625,8.875,9.03125,6.935017108917236,886400
2000-02-10,9.125,9.15625,9.046875,9.09375,6.9830098152160645,394400
2000-02-11,9.109375,9.109375,8.828125,8.828125,6.779038906097412,336800
2000-02-14,8.78125,8.78125,8.609375,8.65625,6.647055149078369,214400
2000-02-15,8.6875,8.75,8.671875,8.71875,6.695049285888672,570000
2000-02-16,8.734375,8.8125,8.7265625,8.796875,6.755038738250732,1315200
2000-02-17,8.859375,9.0625,8.828125,8.828125,6.779038906097412,857600
2000-02-18,8.859375,8.859375,8.625,8.640625,6.6350555419921875,187200
2000-02-22,8.640625,8.8125,8.59375,8.8125,6.7670369148254395,204400
2000-02-23,8.796875,8.890625,8.796875,8.875,6.815031051635742,886400
2000-02-24,8.84375,8.96875,8.765625,8.765625,6.731043815612793,372400
2000-02-25,8.734375,8.828125,8.6875,8.75,6.719043254852295,910400
2000-02-28,8.765625,8.765625,8.515625,8.53125,6.551069259643555,228000
2000-02-29,8.546875,8.578125,8.4375,8.578125,6.587066173553467,379200
2000-03-01,8.625,9.078125,8.59375,8.96875,6.887022018432617,441200
2000-03-02,9.03125,9.046875,8.90625,9.0,6.911017417907715,241600
2000-03-03,9.03125,9.21875,9.03125,9.21875,7.078993797302246,952000
2000-03-06,9.625,10.09375,9.625,9.640625,7.40294885635376,976400
2000-03-07,9.78125,9.78125,9.015625,9.21875,7.078993797302246,824400
2000-03-08,9.21875,9.4375,9.21875,9.296875,7.138986587524414,710000
2000-03-09,9.265625,9.40625,9.265625,9.390625,7.210974216461182,510000
2000-03-10,9.375,9.375,9.1875,9.203125,7.06699800491333,299200
2000-03-13,9.1875,9.21875,9.125,9.171875,7.042998790740967,196400
2000-03-14,9.15625,9.34375,8.9375,8.9375,6.8630266189575195,780000
2000-03-15,8.9375,9.125,8.625,9.046875,6.947012901306152,286800
2000-03-16,9.109375,9.8125,9.109375,9.8125,7.534932613372803,277600
2000-03-17,9.8125,9.96875,9.8125,9.921875,7.618915557861328,438800
2000-03-20,9.890625,10.0,9.34375,9.5,7.294963359832764,569200
2000-03-21,9.3125,9.3125,8.75,8.9375,6.8630266189575195,433200
2000-03-22,8.921875,9.359375,8.921875,9.265625,7.114988327026367,634000
2000-03-23,9.265625,9.46875,9.1875,9.1875,7.054997444152832,814800
2000-03-24,9.15625,9.203125,8.9375,8.953125,6.875022888183594,252800
2000-03-27,9.0,9.0,8.859375,8.859375,6.803033828735352,233200
2000-03-28,8.96875,9.65625,8.90625,9.421875,7.234969139099121,1261200
2000-03-29,9.421875,9.453125,9.125,9.25,7.10299015045166,414400
2000-03-30,9.125,9.25,9.109375,9.234375,7.0909905433654785,588000
2000-03-31,9.25,9.9375,9.21875,9.9375,7.630914688110352,600000
2000-04-03,10.0,10.3125,9.875,9.953125,7.642914772033691,454400
2000-04-04,9.9375,9.9375,9.25,9.59375,7.366954803466797,806800
2000-04-05,9.59375,10.0625,9.40625,10.03125,7.702908039093018,2128000
2000-04-06,10.03125,10.625,9.96875,10.359375,7.954868793487549,1136400
2000-04-07,10.359375,10.625,10.359375,10.5,8.06285285949707,1037600
2000-04-10,10.5,10.71875,10.3125,10.375,7.966869354248047,339200
2000-04-11,10.375,10.5,10.3125,10.484375,8.05085563659668,389600
2000-04-12,10.4375,10.6875,10.421875,10.53125,8.0868501663208,1093200
2000-04-13,10.53125,10.75,10.53125,10.671875,8.194838523864746,688400
2000-04-14,10.875,11.3125,10.875,11.125,8.54278564453125,1940400
2000-04-17,11.140625,13.3125,11.140625,12.5625,9.646628379821777,2498400
2000-04-18,12.8125,14.171875,12.8125,14.0,10.750473022460938,3228800
2000-04-19,13.9375,14.234375,13.25,13.765625,10.570500373840332,2447200
2000-04-20,13.78125,13.84375,12.875,13.40625,10.294536590576172,1328400
2000-04-24,13.375,13.859375,13.28125,13.4375,10.318530082702637,1667600
2000-04-25,13.6875,14.375,13.6875,14.3125,10.990438461303711,2314400
2000-04-26,14.25,15.171875,14.09375,14.75,11.326386451721191,1814800
2000-04-27,14.75,14.90625,14.4375,14.75,11.326386451721191,1296000
2000-04-28,14.625,14.6875,13.9375,14.546875,11.170413970947266,1210800
2000-05-01,14.484375,14.9375,14.484375,14.765625,11.338388442993164,1070000
2000-05-02,14.75,15.1875,14.46875,14.5625,11.182415008544922,1793200
2000-05-03,14.5,14.5,14.03125,14.078125,10.810465812683105,934000
2000-05-04,14.1875,14.484375,14.0625,14.1875,10.894453048706055,1103200
2000-05-05,14.375,14.96875,14.375,14.90625,11.446374893188477,985600
2000-05-08,14.96875,15.15625,14.78125,14.84375,11.398377418518066,1136800
2000-05-09,14.8125,15.25,14.8125,15.0625,11.566354751586914,1092800
2000-05-10,15.078125,15.25,14.375,14.71875,11.30239486694336,1056400
2000-05-11,14.84375,15.78125,14.84375,15.515625,11.914302825927734,1078400
2000-05-12,15.71875,16.8125,15.71875,16.75,12.862171173095703,1780000
2000-05-15,16.875,17.5,16.40625,16.625,12.76618480682373,2397600
2000-05-16,17.1875,17.84375,16.75,17.4375,13.390098571777344,2192000
2000-05-17,17.1875,17.4375,16.9375,16.96875,13.03014850616455,925600
2000-05-18,16.875,17.0625,15.828125,16.234375,12.466228485107422,905600
2000-05-19,16.296875,16.34375,14.5625,15.40625,11.830318450927734,1313600
2000-05-22,15.625,15.90625,15.09375,15.265625,11.722333908081055,919600
2000-05-23,15.265625,15.3125,15.0625,15.171875,11.650346755981445,657600
2000-05-24,15.21875,17.03125,15.21875,16.96875,13.03014850616455,1874400
2000-05-25,17.5,17.875,16.8125,17.3125,13.294110298156738,1927600
2000-05-26,17.59375,18.1875,17.546875,17.71875,13.606067657470703,1596000
2000-05-30,17.71875,17.71875,16.9375,17.125,13.150132179260254,1669200
2000-05-31,17.0,17.09375,16.125,16.78125,12.886167526245117,1814000
2000-06-01,16.84375,17.4375,16.84375,17.1875,13.198127746582031,1468800
2000-06-02,17.28125,17.5,14.875,16.6875,12.814181327819824,3347200
2000-06-05,16.65625,16.65625,15.625,15.84375,12.166271209716797,1875200
2000-06-06,16.0625,16.125,15.25,15.453125,11.866317749023438,594400
2000-06-07,15.515625,15.75,14.6875,15.25,11.710336685180664,1014800
2000-06-08,15.25,15.5625,15.0,15.109375,11.602354049682617,401200
2000-06-09,15.21875,15.453125,14.765625,15.390625,11.818317413330078,677200
2000-06-12,15.125,15.25,13.5,14.9375,11.470375061035156,3091600
2000-06-13,15.0,15.625,15.0,15.25,11.710336685180664,1171600
