Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.0,21.125,20.75,20.875,1.239657998085022,42000
1972-06-02,20.875,21.125,20.75,21.0,1.2470812797546387,17600
1972-06-05,21.0,21.25,20.875,20.875,1.239657998085022,13200
1972-06-06,20.75,20.75,20.5,20.625,1.2405611276626587,15700
1972-06-07,20.625,20.75,20.625,20.625,1.2405611276626587,5000
1972-06-08,20.625,20.875,20.375,20.375,1.2255229949951172,32900
1972-06-09,20.375,20.5,20.25,20.25,1.2180051803588867,18500
1972-06-12,20.25,20.625,20.25,20.5,1.2330420017242432,10600
1972-06-13,20.5,20.5,20.0,20.25,1.2180051803588867,38400
1972-06-14,20.125,20.125,19.75,19.75,1.1879318952560425,126800
1972-06-15,19.75,19.875,19.75,19.875,1.1954491138458252,14100
1972-06-16,19.875,19.875,19.625,19.875,1.1954491138458252,9000
1972-06-19,19.875,20.0,19.75,19.875,1.1954491138458252,8500
1972-06-20,19.875,19.875,19.625,19.625,1.1804131269454956,40600
1972-06-21,19.625,19.875,19.375,19.375,1.1653748750686646,57000
1972-06-22,19.375,19.625,19.375,19.625,1.1804131269454956,23700
1972-06-23,19.625,19.625,19.375,19.625,1.1804131269454956,53000
1972-06-26,19.625,19.75,19.375,19.5,1.1728928089141846,14400
1972-06-27,19.5,19.5,19.375,19.5,1.1728928089141846,14200
1972-06-28,19.5,19.875,19.375,19.875,1.1954491138458252,21000
1972-06-29,19.875,20.0,19.625,19.875,1.1954491138458252,13300
1972-06-30,19.875,20.375,19.875,20.25,1.2180051803588867,47100
1972-07-03,20.25,20.5,20.0,20.25,1.2180051803588867,7300
1972-07-05,20.5,21.0,20.5,20.875,1.2555973529815674,22400
1972-07-06,20.875,21.375,20.875,21.375,1.2856718301773071,15300
1972-07-07,21.375,21.625,21.25,21.625,1.3007086515426636,23900
1972-07-10,21.625,21.875,21.375,21.75,1.3082269430160522,25600
1972-07-11,21.5,21.5,21.125,21.125,1.2706345319747925,14400
1972-07-12,21.125,21.625,21.125,21.375,1.2856718301773071,4800
1972-07-13,21.375,21.625,21.125,21.125,1.2706345319747925,6000
1972-07-14,21.125,21.5,21.0,21.25,1.2781528234481812,10600
1972-07-17,21.25,21.375,21.0,21.125,1.2706345319747925,12300
1972-07-18,20.875,20.875,20.625,20.625,1.2405611276626587,4400
1972-07-19,20.625,20.75,20.5,20.5,1.2330420017242432,9300
1972-07-20,20.5,20.75,20.5,20.625,1.2405611276626587,7500
1972-07-21,20.625,20.875,20.5,20.875,1.2555973529815674,5500
1972-07-24,20.875,21.0,20.625,20.875,1.2555973529815674,12600
1972-07-25,20.875,21.125,20.5,20.75,1.2480788230895996,67600
1972-07-26,20.75,21.0,20.625,20.625,1.2405611276626587,13800
