Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.5625,23.9375,23.1875,23.4375,1.672609806060791,7386600
2000-01-04,23.25,24.25,23.25,23.625,1.6859915256500244,10538200
2000-01-05,23.8125,24.0625,23.4375,23.5,1.6770707368850708,11697300
2000-01-06,23.5,23.6875,23.0,23.0625,1.6458481550216675,7152800
2000-01-07,23.25,23.8125,23.125,23.6875,1.6904515027999878,7972100
2000-01-10,23.75,24.0625,23.75,24.0,1.7127528190612793,7711300
2000-01-11,24.125,24.625,24.0625,24.125,1.721673846244812,7451400
2000-01-12,24.25,24.5625,24.0,24.25,1.7305939197540283,9609400
2000-01-13,24.5,24.5625,24.25,24.5,1.748435378074646,6263900
2000-01-14,24.5625,24.625,23.75,24.25,1.7305939197540283,7813300
2000-01-18,24.0625,24.1875,23.0,23.0,1.6413888931274414,7998600
2000-01-19,23.125,23.5,23.0,23.375,1.6681506633758545,8731100
2000-01-20,23.375,23.375,22.0625,22.578125,1.6112805604934692,9977700
2000-01-21,22.1875,22.5,21.8125,22.0,1.5700234174728394,13976300
2000-01-24,22.75,23.0,21.875,22.0,1.5700234174728394,15344200
2000-01-25,22.0,22.875,21.375,21.9375,1.5655640363693237,11046800
2000-01-26,21.75,21.8125,20.875,21.0625,1.5031191110610962,18969200
2000-01-27,21.5,21.875,20.8125,21.0,1.4986594915390015,14734700
2000-01-28,21.125,21.3125,20.75,20.75,1.4808180332183838,12021300
2000-01-31,20.9375,21.125,20.84375,20.875,1.4897385835647583,11594900
2000-02-01,21.125,21.125,20.75,21.0,1.4986594915390015,13301800
2000-02-02,20.9375,21.109375,20.5625,20.625,1.471897006034851,13933200
2000-02-03,20.9375,21.4375,20.875,21.0,1.4986594915390015,20018200
2000-02-04,21.125,21.125,20.375,20.625,1.471897006034851,16675500
2000-02-07,20.875,20.9375,20.375,20.5625,1.4674369096755981,12752400
2000-02-08,20.25,20.3125,19.125,19.5,1.3916116952896118,26653500
2000-02-09,19.4375,20.0,19.4375,19.625,1.400532603263855,18374200
2000-02-10,20.0,20.3125,19.8125,19.875,1.4183731079101562,15253200
2000-02-11,19.9375,20.125,19.0625,19.0625,1.3603894710540771,15365500
2000-02-14,19.3125,19.4375,18.75,18.9375,1.3514691591262817,21123700
2000-02-15,19.0625,19.125,18.6875,19.125,1.364850401878357,15218000
2000-02-16,19.0625,19.25,18.8125,19.0,1.3559297323226929,13799900
2000-02-17,19.875,20.0,19.3125,19.5,1.3916116952896118,16060300
2000-02-18,19.5,19.875,19.375,19.625,1.400532603263855,11121500
2000-02-22,19.9375,21.1875,19.875,20.875,1.4897385835647583,17008800
2000-02-23,21.25,21.6875,20.1875,20.3125,1.4495954513549805,14797000
2000-02-24,20.5,20.5625,19.75,20.0625,1.4317545890808105,12097700
2000-02-25,20.125,20.1875,19.625,19.625,1.400532603263855,11480500
2000-02-28,19.8125,20.3125,19.8125,20.0625,1.4317545890808105,10884600
2000-02-29,20.0625,20.4375,20.0625,20.1875,1.4406754970550537,13524800
2000-03-01,20.1875,21.5,19.625,20.4375,1.458516240119934,21707100
2000-03-02,20.4375,20.8125,20.0,20.125,1.4362149238586426,11165200
2000-03-03,20.0,20.625,19.75,20.3125,1.4495954513549805,13358800
2000-03-06,20.75,20.875,19.5625,19.875,1.4183731079101562,13047100
2000-03-07,19.875,20.0,19.5,19.5625,1.3960717916488647,12009900
2000-03-08,19.625,19.75,19.1875,19.25,1.3737714290618896,11810100
2000-03-09,19.25,19.5,19.125,19.5,1.3916116952896118,8739200
2000-03-10,19.375,19.4375,19.0625,19.0625,1.3603894710540771,10848100
2000-03-13,19.25,20.0,19.125,19.875,1.4183731079101562,10914000
2000-03-14,19.8125,19.8125,19.25,19.46875,1.3893816471099854,11983600
2000-03-15,19.3125,20.375,19.25,20.125,1.4362149238586426,13071300
2000-03-16,20.125,20.5,20.0625,20.25,1.4804456233978271,13253000
2000-03-17,20.375,20.375,19.5,20.25,1.4804456233978271,16220400
2000-03-20,19.875,20.25,19.8125,19.9375,1.45759916305542,14039000
2000-03-21,19.5,22.125,19.0,20.3125,1.4850140810012817,34490700
2000-03-22,20.3125,20.5625,19.3125,19.4375,1.421044945716858,16078100
2000-03-23,19.5,19.6875,19.3125,19.5,1.4256138801574707,13839800
2000-03-24,19.5625,19.875,19.5,19.8125,1.4484606981277466,10308500
2000-03-27,19.8125,19.875,19.5,19.609375,1.433609962463379,8924600
2000-03-28,19.5,19.75,19.3125,19.5625,1.430182695388794,12453400
2000-03-29,19.5625,19.625,19.125,19.125,1.3981986045837402,11687300
2000-03-30,20.0,21.5625,19.734375,21.5,1.5718313455581665,27460700
2000-03-31,21.9375,22.0625,20.75,20.75,1.51699960231781,15234000
2000-04-03,21.75,23.0,21.5,22.8125,1.66778564453125,16940200
2000-04-04,23.0,23.75,21.1875,22.1875,1.622092604637146,17620000
2000-04-05,22.0625,22.5625,22.0,22.375,1.6358000040054321,10017900
2000-04-06,22.8125,23.5625,22.5,22.9375,1.676924228668213,16373400
2000-04-07,23.25,23.625,21.9375,22.5,1.6449391841888428,24520100
2000-04-10,22.0,22.25,21.0,22.0,1.6083848476409912,14618200
2000-04-11,21.75,21.9375,21.5,21.75,1.5901081562042236,7584900
2000-04-12,21.875,22.625,21.6875,21.875,1.5992463827133179,9034400
