Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5,8.5,8.0625,8.125,6.97806453704834,442500
2000-01-04,8.09375,8.1875,7.703125,8.0625,6.924386978149414,2393500
2000-01-05,8.09375,8.125,8.0,8.0625,6.924386978149414,319600
2000-01-06,8.0625,8.125,8.0,8.125,6.97806453704834,1003300
2000-01-07,8.0625,8.4375,8.0625,8.34375,7.1659345626831055,192200
2000-01-10,8.5,8.5625,8.125,8.5,7.300129413604736,1484800
2000-01-11,8.375,8.5625,8.25,8.25,7.085415840148926,216500
2000-01-12,8.375,8.5,8.25,8.484375,7.286710262298584,57000
2000-01-13,8.5,8.6875,8.375,8.5625,7.353804588317871,200400
2000-01-14,8.5,8.625,8.125,8.1875,7.03174352645874,274800
2000-01-18,8.34375,8.5625,8.125,8.125,6.97806453704834,206900
2000-01-19,8.125,8.5,8.125,8.4375,7.246449947357178,174800
2000-01-20,8.375,8.625,8.3125,8.5625,7.353804588317871,3940800
2000-01-21,8.65625,8.75,8.5,8.625,7.407485008239746,311800
2000-01-24,8.625,8.6875,8.3125,8.375,7.192774295806885,386600
2000-01-25,8.5,8.5,8.3125,8.46875,7.273289203643799,232200
2000-01-26,8.5,8.75,8.375,8.625,7.407485008239746,168200
2000-01-27,8.71875,9.125,8.6875,8.875,7.622193336486816,256500
2000-01-28,8.8125,8.9375,8.5,8.5625,7.353804588317871,239700
2000-01-31,8.8125,8.875,8.5625,8.59375,7.380646705627441,170600
2000-02-01,8.6875,8.75,8.5,8.6875,7.461162090301514,141900
2000-02-02,8.875,9.0625,8.5,9.03125,7.756382465362549,223100
2000-02-03,9.03125,9.125,8.625,8.75,7.514838218688965,125100
2000-02-04,8.9375,9.0625,8.5,8.65625,7.434322834014893,119300
2000-02-07,8.84375,9.125,8.8125,9.0625,7.783224582672119,140000
2000-02-08,8.9375,9.0625,8.75,9.03125,7.756382465362549,179100
2000-02-09,9.0,9.4375,8.875,8.875,7.622193336486816,356200
2000-02-10,8.875,8.9375,8.875,8.875,7.622193336486816,152400
2000-02-11,9.0,9.0,8.4375,8.4375,7.246449947357178,1448800
2000-02-14,8.5,8.5,7.5625,7.875,6.763352870941162,360700
2000-02-15,7.9375,8.625,7.875,8.375,7.192774295806885,308800
