Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.9346113204956055,6212400
1995-06-19,7.5625,7.625,7.0625,7.1875,6.645669460296631,1528200
1995-06-20,7.25,7.3125,7.1875,7.1875,6.645669460296631,863000
1995-06-21,7.25,7.25,7.0,7.0625,6.530089855194092,629000
1995-06-22,7.0625,7.5625,7.0,7.3125,6.761245250701904,546200
1995-06-23,7.375,7.4375,7.25,7.3125,6.761245250701904,365000
1995-06-26,7.3125,7.375,7.0,7.0625,6.530089855194092,515400
1995-06-27,7.125,7.125,7.0,7.0,6.472304344177246,270800
1995-06-28,7.0625,7.0625,7.0,7.0,6.472304344177246,500400
1995-06-29,7.0,7.125,7.0,7.0,6.472304344177246,309200
1995-06-30,7.0625,7.1875,7.0625,7.125,6.587884426116943,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,6.530089855194092,9200
1995-07-05,7.125,7.125,7.0625,7.0625,6.530089855194092,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,6.530089855194092,81400
1995-07-07,7.0625,7.625,7.0625,7.5625,6.992398738861084,475000
1995-07-10,7.5,7.75,7.5,7.75,7.165763854980469,241400
1995-07-11,7.625,8.5625,7.625,8.5,7.859227657318115,538600
1995-07-12,8.5,9.0625,8.375,9.0,8.321532249450684,496200
1995-07-13,9.0,9.0,8.8125,8.9375,8.26374626159668,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,8.26374626159668,102200
1995-07-17,9.0625,9.5,9.0625,9.4375,8.726051330566406,480200
1995-07-18,9.4375,9.4375,9.0,9.0625,8.379322052001953,359200
1995-07-19,9.0,9.0,8.8125,8.875,8.205960273742676,101600
1995-07-20,8.75,8.75,8.4375,8.6875,8.032594680786133,119600
1995-07-21,8.75,8.75,8.6875,8.6875,8.032594680786133,13000
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.917018890380859,112000
1995-07-25,8.5625,8.8125,8.5625,8.75,8.090376853942871,201000
1995-07-26,8.875,9.1875,8.875,9.125,8.437110900878906,287800
1995-07-27,9.1875,9.375,9.1875,9.3125,8.610477447509766,101600
1995-07-28,9.375,9.4375,9.3125,9.3125,8.610477447509766,100400
1995-07-31,9.375,9.375,9.0625,9.25,8.552689552307129,60800
1995-08-01,9.1875,9.1875,9.0,9.0625,8.379322052001953,57600
1995-08-02,9.0,9.0,8.875,8.875,8.205960273742676,41000
1995-08-03,8.8125,8.8125,8.75,8.75,8.090376853942871,12600
1995-08-04,8.625,8.6875,8.5625,8.625,7.974796295166016,9000
1995-08-07,8.5625,8.75,8.5625,8.6875,8.032594680786133,12200
1995-08-08,8.625,8.6875,8.5625,8.5625,7.917018890380859,3200
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.570281505584717,24000
1995-08-10,8.25,8.25,8.125,8.125,7.51249361038208,6800
1995-08-11,8.125,8.125,8.125,8.125,7.51249361038208,10000
1995-08-14,8.0625,8.125,7.9375,8.0,7.396918296813965,28200
1995-08-15,8.0,8.0625,8.0,8.0,7.396918296813965,9400
1995-08-16,8.0625,8.25,8.0625,8.1875,7.570281505584717,11800
1995-08-17,8.1875,8.3125,8.1875,8.25,7.628073692321777,6200
1995-08-18,8.375,8.375,8.25,8.25,7.628073692321777,9800
1995-08-21,8.25,8.4375,8.25,8.375,7.743645668029785,8600
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.801438808441162,12400
1995-08-23,8.5,8.6875,8.5,8.5625,7.917018890380859,28800
1995-08-24,8.625,8.75,8.625,8.75,8.090376853942871,16200
1995-08-25,8.625,8.625,8.5625,8.5625,7.917018890380859,30200
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.801438808441162,9200
1995-08-29,8.375,8.375,8.1875,8.1875,7.570281505584717,9200
1995-08-30,8.25,8.25,8.1875,8.1875,7.570281505584717,1400
1995-08-31,8.125,8.1875,8.125,8.125,7.51249361038208,13800
1995-09-01,8.0,8.0625,8.0,8.0625,7.454706192016602,9200
1995-09-05,8.0,8.0625,8.0,8.0,7.396918296813965,12200
1995-09-06,7.9375,8.0625,7.8125,7.8125,7.223552703857422,23400
1995-09-07,7.8125,7.875,7.625,7.75,7.165763854980469,48800
1995-09-08,7.75,8.0,7.75,7.9375,7.339132308959961,140200
1995-09-11,7.9375,7.9375,7.8125,7.875,7.281341552734375,104000
1995-09-12,7.9375,8.0,7.9375,8.0,7.396918296813965,11000
