Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.9296875,1.9375,1.92578125,1.9375,0.1798197478055954,1174400
1970-01-05,1.9375,1.96875,1.93359375,1.96875,0.1827201396226883,1881600
1970-01-06,1.96875,1.97265625,1.9453125,1.96484375,0.18235763907432556,1232000
1970-01-07,1.96484375,1.96484375,1.94921875,1.953125,0.18126992881298065,918400
1970-01-08,1.953125,1.96875,1.9453125,1.95703125,0.18163250386714935,1075200
1970-01-09,1.95703125,1.96484375,1.94921875,1.96484375,0.18235763907432556,1072000
1970-01-12,1.96484375,1.96875,1.94921875,1.94921875,0.18090736865997314,892800
1970-01-13,1.94921875,1.9609375,1.94140625,1.94140625,0.18018241226673126,1248000
1970-01-14,1.94140625,1.9453125,1.93359375,1.9453125,0.1805448681116104,1328000
1970-01-15,1.9453125,1.9453125,1.921875,1.92578125,0.1787322610616684,1206400
1970-01-16,1.92578125,1.9375,1.92578125,1.93359375,0.1794571578502655,1100800
1970-01-19,1.93359375,1.9375,1.921875,1.93359375,0.1794571578502655,700800
1970-01-20,1.93359375,1.9453125,1.92578125,1.92578125,0.1787322610616684,1241600
1970-01-21,1.92578125,1.9375,1.921875,1.921875,0.17836959660053253,841600
1970-01-22,1.921875,1.92578125,1.90625,1.91015625,0.17728200554847717,1382400
1970-01-23,1.91015625,1.91015625,1.87890625,1.8828125,0.17474432289600372,1878400
1970-01-26,1.8828125,1.890625,1.875,1.88671875,0.17510679364204407,1043200
1970-01-27,1.87890625,1.87890625,1.859375,1.875,0.1740192174911499,2054400
1970-01-28,1.875,1.875,1.8125,1.81640625,0.16858111321926117,1488000
1970-01-29,1.80078125,1.80078125,1.77734375,1.77734375,0.16495564579963684,1548800
1970-01-30,1.7734375,1.7734375,1.75,1.76171875,0.16350552439689636,2172800
1970-02-02,1.76171875,1.76171875,1.75,1.75,0.1624179184436798,2755200
1970-02-03,1.75,1.796875,1.7421875,1.78515625,0.16568079590797424,2572800
1970-02-04,1.78515625,1.7890625,1.7734375,1.78125,0.16531819105148315,2003200
1970-02-05,1.78125,1.78125,1.7734375,1.77734375,0.16495564579963684,1676800
1970-02-06,1.75390625,1.75390625,1.73046875,1.734375,0.16096776723861694,1635200
1970-02-09,1.734375,1.7421875,1.72265625,1.7265625,0.1602427065372467,1398400
1970-02-10,1.71875,1.71875,1.6484375,1.6640625,0.1544419676065445,2777600
1970-02-11,1.6640625,1.67578125,1.640625,1.67578125,0.15552960336208344,2316800
